poem_link,arabic_poet,subsection,poems
https://ganjoor.net/khosro/gozide/ghazalamkh/,gozide,ghazalamkh,1996
https://ganjoor.net/khosro/gozide/ghaside-khosro/,gozide,ghaside-khosro,6
https://ganjoor.net/khosro/gozide/masnaviatkh/,gozide,masnaviatkh,100
https://ganjoor.net/khosro/gozide/matlaolanvar/,gozide,matlaolanvar,14
https://ganjoor.net/khosro/gozide/khosro-shirin2/,gozide,khosro-shirin2,39
https://ganjoor.net/khosro/gozide/majnoon-leyli/,gozide,majnoon-leyli,31
https://ganjoor.net/khosro/gozide/ayeene-sekandari/,gozide,ayeene-sekandari,5
https://ganjoor.net/khosro/gozide/8behesht/,gozide,8behesht,6
https://ganjoor.net/khosro/gozide/ghazal-khosro/,gozide,ghazal-khosro,626
